6,0,1
8,0,2
11,0,4
14,0,2
17,0,2
21,0,3
23,0,2
28,0,3
34,0,3
36,0,3
39,0,4
41,0,4
42,0,3
49,0,4
50,0,3
53,0,2
54,0,3
56,0,4
58,0,1
63,0,4
68,0,3
69,0,2
75,0,4
77,0,2
81,0,4
82,0,1
84,0,3
88,0,2
89,0,2
95,0,2
98,0,3
103,0,3
106,0,3
109,0,4
110,4,0
115,4,0
127,2,0
132,2,0
133,1,0
135,3,0
135,4,0
139,3,0
141,3,0
145,2,0
149,4,0
150,0,4
159,0,2
161,0,3
170,0,4
174,0,3
181,0,1
182,0,3
185,0,3
192,0,1
194,0,3
197,0,2
203,0,2
207,0,2
208,0,2
209,0,3
210,0,2
213,0,2
217,0,4
220,0,3
221,0,3
228,0,2
229,0,4
232,0,2
